company,avg
martinbregman,62529801.5
haishangfilms,124987022.0
fountainbridgefilms,62280309.0
envisionmedia,24861088.6
emjag,41429782.666666664
yellowbird,30993010.5
doubledareyou,61866980.0
wwestudios,4575281.851851852
blindwink,123477607.0
imaginaryforces,40897928.666666664
amenrafilms,61269632.5
paramountvantage,13517616.777777778
extension765,60705807.5
starthrowerentertainment,13466014.777777778
filmcolony,40339335.0
zehntebabelsberg,120774594.0
jerrysherlock,120709866.0
largerthanlife,120277854.0
catfish,119519402.0
jimczarnecki,119114517.0
nikelodeonmovies,39542372.333333336
bedfordfalls,23719153.2
stuberparent,59119263.5
granvia,13109395.0
davidtfriendly,117559438.0
viewaskew,23486976.6
salamanderpictures,116632095.0
pamwilliamsproductions,116632095.0
buenavistaintl,38871828.0
joliepas,38829578.666666664
nottinghillpictures,116089678.0
katalystfilms,57987925.5
technicalblack,115654751.0
palmstarmedia,10479304.0
20entertainment,115234093.0
denverdelilahfilms,14297896.5
infinitedetective,114281104.0
secretmachineentertainment,114281104.0
adhominementerpises,37978605.666666664
ironhorse,56962612.5
sonnenfeldjoseph,113805681.0
banditobrothers,22720178.2
billblockmedia,113257297.0
suzannetodd,113257297.0
wcg,112276146.0
toddphillips,112200072.0
americanempirical,37364723.0
gerardbutleralansiegelentertainment,56015432.0
carlopontiproduction,111897830.0
cinecinema,3725565.8666666667
bullwinklestudios,111506430.0
telefilmcanada,1736525.609375
mysteryclockcinema,55555549.0
hopscotchfeatures,22203961.0
jc23entertainment,110550000.0
bartpalevsky,110550000.0
littlestranger,55063989.5
conmanizzy,110101975.0
waypointentertainment,9986540.090909092
cottproductions,54345420.5
lanternentertainment,108235497.0
furtherfilms,21641436.6
demarestfilms,8320459.307692308
simonfieldsproductions,54071596.0
sketchfilms,54061677.0
robreiner,53992173.5
leerich,53961553.0
rovioanimation,53754683.0
lornemichaels,53600456.5
carouselfilms,21377815.6
materialpictures,9711422.454545455
sherrylansing,106614059.0
thezanuckcompany,106593296.0
gianninunnari,106580051.0
rambergmanproductions,15223350.57142857
inferno,21233400.4
freestatepictures,53028974.0
fairbanks,105487148.0
asapfilms,21052579.2
groundswellproductions,8042947.230769231
companyfilms,11585192.0
digitaldomain,51904065.0
emifilms,34577955.666666664
dunevision,51773041.5
christinasteinberg,103412758.0
bigbeach,7321324.642857143
yukfilms,51166229.0
kendrickbrothersproductions,34104112.666666664
rocklinfaust,51041605.5
charlottehuggins,101704370.0
platinumstudios,50777549.0
hammerfilms,16913235.833333332
koproductions,101440743.0
serendipityprods,25338231.75
permutpresentations,14434573.57142857
codeblackfilms,12616368.5
40acresandamulefilmworks,12600496.0
vynilfilms,100614858.0
rhythmandhues,100246011.0
edgecity,100170152.0
junopix,100125643.0
startmotionpictures,50007349.5
zidepictures,49673239.0
timurbekmambetov,24799200.75
currententertainment,19798862.0
brillsteinentertianmentpartners,32958331.333333332
bazelevscompany,16394511.833333334
aeglive,49169990.5
jinkscohencompany,49137083.0
dorothymckim,97822171.0
blindwink,48704550.5
liddellentertainment,9725135.8
vinylfilms,32382638.0
patherennproductions,24261597.25
wagnerproductions,48261343.5
lasproduccionesdelescorpion,96522687.0
nelsonentertainment,47961068.0
markboal,95720716.0
entertainment360,23824640.5
routeone,8650556.0
brianhelgeland,95020213.0
jdproductions,15832753.5
amyrobinson,94125426.0
easytheretiger,94125426.0
flowerfilm,93953653.0
rickshaw,46976800.0
sierrafilms,8534211.545454545
phantomfour,13376108.57142857
kingsgatefilms,15580596.833333334
reinergreisman,93466502.0
a113,93436322.0
montfordmurphy,46627644.0
alphacore,93050117.0
walterparkes,46449822.0
toonboxentertainment,23204629.5
headgearfilms,2494541.3243243243
lovefilm,30749874.333333332
1614entertainment,46027079.5
ridleyscottassociates,46027079.5
thunderbirdfilms,46027079.5
budyorkin,92054159.0
vendomepictures,13087803.142857144
madhouseentertainment,30522375.666666668
alloyentertainment,18312723.6
ombrafilms,22866370.25
bristolautomotive,91125143.0
bordenandrosenbushentertainment,90559416.0
kanzamanprods,12892547.57142857
nicholassparksproductions,45065005.5
missionpicturesinternational,45033255.5
debramartinchase,30009265.333333332
giantpictures,44908324.0
hypnotic,44856409.5
